네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
식품 > 과자/베이커리 > 아이스크림/빙수
조회기간 : 2022.10.01. ~ 2023.10.01. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이스크림/빙수"
"2023-05-05",52
"2023-05-06",51
"2023-05-07",60
"2023-05-08",60
"2023-05-09",63
"2023-05-10",64
"2023-05-11",64
"2023-05-12",60
"2023-05-13",56
"2023-05-14",69
"2023-05-15",81
"2023-05-16",88
"2023-05-17",86
"2023-05-18",74
"2023-05-19",63
"2023-05-20",60
"2023-05-21",70
"2023-05-22",78
"2023-05-23",78
"2023-05-24",71
"2023-05-25",71
"2023-05-26",58
"2023-05-27",69
"2023-05-28",65
"2023-05-29",73
"2023-05-30",71
"2023-05-31",75
"2023-06-01",69
"2023-06-02",61
"2023-06-03",64
"2023-06-04",72
"2023-06-05",75
"2023-06-06",80
"2023-06-07",78
"2023-06-08",73
"2023-06-09",66
"2023-06-10",72
"2023-06-11",72
"2023-06-12",84
"2023-06-13",81
"2023-06-14",79
"2023-06-15",70
"2023-06-16",64
"2023-06-17",63
"2023-06-18",82
"2023-06-19",91
"2023-06-20",78
"2023-06-21",70
"2023-06-22",67
"2023-06-23",63
"2023-06-24",64
"2023-06-25",87
"2023-06-26",87
"2023-06-27",80
"2023-06-28",73
"2023-06-29",71
"2023-06-30",69
"2023-07-01",72
"2023-07-02",80
"2023-07-03",91
"2023-07-04",73
"2023-07-05",76
"2023-07-06",83
"2023-07-07",66
"2023-07-08",60
"2023-07-09",70
"2023-07-10",86
"2023-07-11",71
"2023-07-12",75
"2023-07-13",65
"2023-07-14",57
"2023-07-15",56
"2023-07-16",64
"2023-07-17",68
"2023-07-18",64
"2023-07-19",73
"2023-07-20",68
"2023-07-21",61
"2023-07-22",62
"2023-07-23",73
"2023-07-24",74
"2023-07-25",75
"2023-07-26",74
"2023-07-27",71
"2023-07-28",65
"2023-07-29",75
"2023-07-30",86
"2023-07-31",95
"2023-08-01",90
"2023-08-02",92
"2023-08-03",97
"2023-08-04",84
"2023-08-05",86
"2023-08-06",83
"2023-08-07",100
"2023-08-08",87
"2023-08-09",76
"2023-08-10",76
"2023-08-11",67
"2023-08-12",58
"2023-08-13",65
"2023-08-14",72
"2023-08-15",74
"2023-08-16",70
"2023-08-17",66
"2023-08-18",59
"2023-08-19",60
"2023-08-20",66
"2023-08-21",75
"2023-08-22",71
"2023-08-23",68
"2023-08-24",64
"2023-08-25",59
"2023-08-26",56
"2023-08-27",59
"2023-08-28",59
"2023-08-29",55
"2023-08-30",50
"2023-08-31",48
"2023-09-01",43
"2023-09-02",42
"2023-09-03",53
"2023-09-04",52
"2023-09-05",51
"2023-09-06",51
"2023-09-07",50
"2023-09-08",42
"2023-09-09",43
"2023-09-10",48
"2023-09-11",48
"2023-09-12",46
"2023-09-13",42
"2023-09-14",40
"2023-09-15",36
"2023-09-16",36
"2023-09-17",42
"2023-09-18",43
"2023-09-19",41
"2023-09-20",36
"2023-09-21",33
"2023-09-22",31
"2023-09-23",30
"2023-09-24",36
"2023-09-25",32
"2023-09-26",26
"2023-09-27",22
"2023-09-28",23
"2023-09-29",24
"2023-09-30",26
"2023-10-01",30
